# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.06621124645629806,0.100143007696003,1.1,1.1
-0.06555633448739684,0.101240336255441,1.1,1.1
-0.06389151199299903,0.102565581259882,1.1,1.1
-0.06182214888459825,0.104142914382168,1.1,1.1
-0.059617037357998726,0.105836793314497,1.1,1.1
-0.061181952580799503,0.0989949744541296,1.1,1.1
-0.05955141005739861,0.0996559620213963,1.1,1.1
-0.05802620045509954,0.100606430923219,1.1,1.1
-0.05629578179959793,0.101779461303529,1.1,1.1
-0.054307166395798134,0.103190200850906,1.1,1.1
-0.06260338419059863,0.100345492850269,1.1,1.1
-0.061900320200098946,0.101363892968321,1.1,1.1
-0.06253116728029795,0.102608033494031,1.1,1.1
-0.06387549714009921,0.104104873804795,1.1,1.1
-0.06797784011349961,0.105988165481713,1.1,1.1
-0.07474213888829695,0.108060152436994,1.1,1.1
-0.09395436492980025,0.102403093892883,1.1,1.1
-0.11091076528470012,0.104062302021861,1.1,1.1
-0.13407371037909854,0.106110243897805,1.1,1.1
-0.16370004284189932,0.108472875563363,1.1,1.1
-0.2075548411782968,0.102195765750172,1.1,1.1
-0.252836952964099,0.104067140015749,1.1,1.1
-0.3062430894501986,0.10632120568679,1.1,1.1
-0.3683092599455975,0.109028980305708,1.1,1.1
-0.43934140103590025,0.112177530464479,1.1,1.1
-0.5194054288412993,0.115772667002512,1.1,1.1
-0.6176293403799988,0.106564204176185,1.1,1.1
-0.7165046397062973,0.109250264765076,1.1,1.1
-0.8227867668267983,0.112468208412712,1.1,1.1
-0.9357223380627993,0.11610011656142,1.1,1.1
-1.0550076564722985,0.11987062376296,1.1,1.1
-1.1884633397949003,0.113116055373339,1.1,1.1
-1.3202339934718985,0.11600261166351,1.1,1.1
-1.4574097177863976,0.119346629282961,1.1,1.1
-1.5990970713728991,0.123348042702756,1.1,1.1
-1.7458722222793988,0.127405722681331,1.1,1.1
-1.8974358360821988,0.131934465591469,1.1,1.1
-2.0624664512958972,0.117124866161066,1.1,1.1
-2.2238374000727,0.119722967353281,1.1,1.1
-2.3892964841166986,0.122754769602183,1.1,1.1
-2.5586797643090975,0.125843578411547,1.1,1.1
-2.7436831593911,0.121312272666662,1.1,1.1
-2.919304965254497,0.123904092245356,1.1,1.1
-3.096674465413898,0.126525599127989,1.1,1.1
-3.276323885332399,0.129262920555,1.1,1.1
-3.4646778692056976,0.129223889960172,1.1,1.1
-3.6483248056635986,0.132106303078552,1.1,1.1
-3.832924517440798,0.134955600301613,1.1,1.1
-4.017782355222799,0.138297275073341,1.1,1.1
-4.202843371086598,0.141608773074297,1.1,1.1
-4.3958952891075,0.135539428022427,1.1,1.1
-4.581765036132097,0.137689942510642,1.1,1.1
-4.7674462789498975,0.139826055366061,1.1,1.1
-4.953170211945498,0.14231203829774,1.1,1.1
-5.1385824047066,0.145056051867651,1.1,1.1
-5.323701784855899,0.147830342977692,1.1,1.1
-5.515348550025898,0.147967980100417,1.1,1.1
-5.701141973771097,0.150450352030212,1.1,1.1
-5.886946297683799,0.153587280253026,1.1,1.1
-6.0730827815098,0.156806950762304,1.1,1.1
-6.268414576016799,0.155357282502928,1.1,1.1
-6.455746543939998,0.15811998594968,1.1,1.1
-6.642852144658399,0.161540208058976,1.1,1.1
-6.8296785483554,0.165513800659961,1.1,1.1
-7.0163601396305,0.16908900233948,1.1,1.1
-7.210948303449797,0.168935313514962,1.1,1.1
-7.398239912992498,0.172448263703502,1.1,1.1
-7.584283475608899,0.176771004056431,1.1,1.1
-7.769200989398197,0.181277780879107,1.1,1.1
-7.952682476010899,0.185602367063429,1.1,1.1
-8.1431133664614,0.18750145155615,1.1,1.1
-8.325626045840398,0.19248353493438,1.1,1.1
-8.506815636191497,0.19766390856731,1.1,1.1
-8.685679878454998,0.202519125047892,1.1,1.1
-8.863469018690598,0.208071155689579,1.1,1.1
-9.039887445074498,0.21496642180798,1.1,1.1
-9.2149455984834,0.222748777759683,1.1,1.1
-9.401126165556398,0.228991934203031,1.1,1.1
-9.573967008180599,0.236302786880641,1.1,1.1
-9.744440895486598,0.243461739053645,1.1,1.1
-9.912149526828898,0.251203364045609,1.1,1.1
-10.085273475325998,0.245734163168306,1.1,1.1
-10.250316207102898,0.251974493817898,1.1,1.1
-10.414646340607497,0.259206677819128,1.1,1.1
-10.578657607137199,0.267464219050934,1.1,1.1
-10.7411415941185,0.275936671863083,1.1,1.1
-10.912648717117598,0.280549791894523,1.1,1.1
-11.074434488238097,0.2890662068593,1.1,1.1
-11.233626866153099,0.298435583943841,1.1,1.1
-11.3922308464028,0.307902465220144,1.1,1.1
